"Faixa Etária";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%/TT";
"Inválida";"803";"45,440";"964";"54,560";"0";"0,000";"1.767";"0,000"
"16 anos";"62.769";"43,250";"82.367";"56,750";"0";"0,000";"145.136";"0,100"
"17 anos";"223.968";"46,180";"261.061";"53,820";"0";"0,000";"485.029";"0,330"
"18 a 20 anos";"2.944.723";"48,460";"3.132.166";"51,540";"0";"0,000";"6.076.889";"4,140"
"21 a 24 anos";"6.016.526";"49,000";"6.263.096";"51,000";"0";"0,000";"12.279.622";"8,370"
"25 a 34 anos";"14.499.232";"48,080";"15.658.181";"51,920";"0";"0,000";"30.157.413";"20,550"
"35 a 44 anos";"14.660.374";"47,500";"16.201.703";"52,500";"0";"0,000";"30.862.077";"21,030"
"45 a 59 anos";"17.305.908";"46,940";"19.557.640";"53,040";"6.829";"0,020";"36.870.377";"25,120"
"60 a 69 anos";"7.882.057";"45,820";"9.309.427";"54,120";"8.874";"0,050";"17.200.358";"11,720"
"70 a 79 anos";"3.887.661";"44,480";"4.844.807";"55,440";"7.094";"0,080";"8.739.562";"5,950"
"Superior a 79 anos";"1.668.288";"42,260";"2.270.204";"57,510";"9.101";"0,230";"3.947.593";"2,690"
"TOTAL(TT)";"69.152.309";"47,120";"77.581.616";"52,860";"31.898";"0,020";"146.765.823";"100,000"
